quarter,date,revenue,net_income,net_cash_change,return_on_equity,ebitda_margin,altman_z_score,liabilities_to_assets,eps,stock_price,,
1,3/31/12,39186,11622,-189,0.48286,0.411473,9.156679,0.320908,0.44,21.79,,
2,6/30/12,35023,8824,-2176,0.329492,0.354281,9.127956,0.314004,0.34,20.53,,
3,9/30/12,35966,8223,2801,0.286072,0.331563,8.796979,0.328596,0.31,21.26,,
4,12/31/12,54512,13078,5408,0.426068,0.344841,7.952625,0.350567,0.5,16.09,,
1,3/31/13,43603,9547,-4101,0.290584,0.326812,7.210674,0.304262,0.36,14.48,,
2,6/30/13,35323,6900,-805,0.213252,0.308439,5.415987,0.382785,0.27,15.73,,
3,9/30/13,37472,7512,3011,0.243396,0.315248,5.29383,0.403144,0.3,18.75,,
4,12/31/13,57594,13072,-182,0.41296,0.340434,5.857279,0.424097,0.52,18.09,,
1,3/31/14,45646,10223,4872,0.327312,0.339131,5.922554,0.416575,0.42,20.28,,
2,6/30/14,37432,7748,-5972,0.257068,0.326672,5.068171,0.456498,0.32,24.3,,
3,9/30/14,42123,8467,867,0.291352,0.311801,4.846922,0.51886,0.36,26.28,,
4,12/31/14,74599,18024,5634,0.613908,0.359535,5.691007,0.529091,0.77,28.83,,
1,3/31/15,58010,13569,-4989,0.430188,0.357817,5.578577,0.506091,0.59,32.64,,
2,6/30/15,49605,10677,830,0.33538,0.346073,4.944381,0.539899,0.47,31.31,,
3,9/30/15,51501,11124,5801,0.363184,0.344498,4.220277,0.58892,0.49,29.82,,
4,12/31/15,75872,18361,-4431,0.593192,0.35751,4.947811,0.562652,0.83,23.36,,
1,3/31/16,50557,10516,4825,0.325164,0.325652,3.707525,0.57266,0.48,24.46,,
2,6/30/16,42358,7796,-3277,0.242676,0.298196,3.369037,0.585928,0.36,25.74,,
3,9/30/16,46852,9014,2247,0.283024,0.305408,3.344238,0.601322,0.42,28.9,,
4,12/31/16,78351,17891,-4113,0.54914,0.336256,4.200981,0.6002,0.84,32.19,,
1,3/31/17,52896,11029,-1214,0.331108,0.31059,3.784847,0.599195,0.53,36.77,,
2,6/30/17,45408,8717,3414,0.261664,0.288979,3.625887,0.616351,0.42,39.29,,
3,9/30/17,52579,10714,1718,0.321652,0.296772,3.476414,0.642845,0.52,43.13,,
4,12/31/17,88293,20065,7202,0.585312,0.328667,4.097907,0.655356,0.98,40.13,,
1,3/31/18,61137,13822,17568,0.41402,0.304774,3.899983,0.654755,0.69,44.14,,
2,6/30/18,53265,11519,-13088,0.381064,0.286811,3.805446,0.670819,0.59,50.38,,
3,9/30/18,62900,14125,-6058,0.508788,0.300031,3.936253,0.707028,0.74,50.4,,
4,12/31/18,84310,19965,18858,0.70974,0.317174,4.314126,0.684543,1.05,41.31,,
1,3/31/19,58015,11561,-4954,0.413348,0.283633,3.597094,0.690466,0.62,52.63,,
2,6/30/19,53809,10044,12334,0.39716,0.269044,3.945119,0.700669,0.55,53.26,,
3,9/30/19,64040,13686,-1927,0.585672,0.293628,4.054773,0.732692,0.76,62.19,,
4,12/31/19,91819,22236,-8559,0.98816,0.30914,5.194569,0.737151,1.26,81.09,,
