quarter,date,revenue,net_income,net_cash_change,return_on_equity,ebitda_margin,altman_z_score,liabilities_to_assets,eps,stock_price,,
1,3/31/12,13185,130,-2981,0.069204,0.043837,6.84595,0.642509,0.01,11.34,,
2,6/30/12,12834,7,47,0.003788,0.040127,6.944819,0.642993,0,11.87,,
3,9/30/12,13806,-274,645,-0.145568,0.031942,6.780572,0.669221,-0.03,11.91,,
4,12/31/12,21268,98,5104,0.049792,0.045749,5.661303,0.748364,0.01,13.64,,
1,3/31/13,16070,82,-3603,0.03946,0.048537,6.165486,0.702857,0.01,12.74,,
2,6/30/13,15704,-7,-777,-0.00326,0.046357,5.795131,0.705195,0,15.6,,
3,9/30/13,17092,-41,168,-0.018404,0.040486,5.850959,0.714792,0,18.17,,
4,12/31/13,25587,240,4786,0.101948,0.052643,6.087786,0.757314,0.03,17.93,,
1,3/31/14,19741,108,-3584,0.04304,0.051821,6.268653,0.715982,0.01,15.19,,
2,6/30/14,19340,-126,-17,-0.04816,0.049379,5.315953,0.720249,-0.01,16.2,,
3,9/30/14,20579,-437,201,-0.166968,0.027455,4.91371,0.744278,-0.05,14.35,,
4,12/31/14,29329,214,9299,0.081224,0.062122,4.393478,0.802935,0.02,17.73,,
1,3/31/15,22717,-57,-4320,-0.021096,0.067306,4.498142,0.782865,-0.01,22.26,,
2,6/30/15,23185,92,32,0.032504,0.07811,4.864726,0.775591,0.01,26.47,,
3,9/30/15,25358,79,440,0.026116,0.072797,5.233847,0.778943,0.01,29.95,,
4,12/31/15,35747,482,5181,0.149376,0.075362,5.973693,0.793287,0.05,29.35,,
1,3/31/16,29128,513,-3420,0.14584,0.093964,5.706539,0.758604,0.05,32.98,,
2,6/30/16,30404,857,51,0.21908,0.099789,6.206927,0.745866,0.09,37.94,,
3,9/30/16,32714,252,1135,0.05874,0.076389,6.164685,0.749185,0.03,38.82,,
4,12/31/16,43741,749,5678,0.161652,0.077707,5.889465,0.76877,0.08,41.37,,
1,3/31/17,35714,724,-3633,0.141408,0.09212,6.086841,0.732317,0.08,46.25,,
2,6/30/17,37955,197,-2450,0.035108,0.082097,6.171964,0.735546,0.02,51,,
3,9/30/17,43744,256,109,0.04278,0.071575,4.776479,0.786079,0.03,55.05,,
4,12/31/17,60453,1857,7896,0.283688,0.100061,5.237227,0.78898,0.19,71.5,,
1,3/31/18,51042,1629,-4240,0.220236,0.109674,6.338652,0.751009,0.17,78.63,,
2,6/30/18,52886,2534,2920,0.305032,0.125042,6.708691,0.739038,0.26,90.86,,
3,9/30/18,56576,2883,496,0.311168,0.1326,7.373114,0.727721,0.3,82.14,,
4,12/31/18,72383,3027,11141,0.292908,0.111186,6.398436,0.73225,0.31,81.31,,
1,3/31/19,59700,3561,-8666,0.309788,0.155343,5.665948,0.728189,0.36,97.53,,
2,6/30/19,63404,2625,-542,0.206952,0.130685,5.749649,0.722703,0.27,97.15,,
3,9/30/19,69981,2134,589,0.155808,0.122647,5.699334,0.716181,0.22,88.07,,
4,12/31/19,87436,3268,12856,0.220496,0.114929,5.244273,0.724481,0.33,100.44,,
