quarter,date,revenue,net_income,net_cash_change,return_on_equity,ebitda_margin,altman_z_score,liabilities_to_assets,eps,stock_price,,
1,3/31/12,10645,2890,13125,0.192896,0.366369,10.385782,0.200041,0.22,15.24,,
2,6/30/12,12214,2785,-7671,0.176216,0.326838,7.820102,0.247876,0.21,15.19,,
3,9/30/12,14101,2176,823,0.131132,0.27381,8.288934,0.241858,0.17,17.01,,
4,12/31/12,14419,2886,-1482,0.166416,0.296622,8.641588,0.235431,0.22,18.84,,
1,3/31/13,13969,3346,597,0.180664,0.317488,9.674362,0.219449,0.25,20.23,,
2,6/30/13,14105,3228,789,0.132392,0.300248,9.91086,0.220691,0.24,22.19,,
3,9/30/13,14893,2970,-922,0.146068,0.297388,10.417988,0.21014,0.22,25.64,,
4,12/31/13,16858,3376,3656,0.158824,0.297722,11.086846,0.212865,0.25,29.67,,
1,3/31/14,15420,3452,-2259,0.163108,0.337289,11.830411,0.212956,0.26,26.72,,
2,6/30/14,15955,3422,2981,0.148936,0.334503,10.923939,0.212642,0.25,29.9,,
3,9/30/14,16523,2813,-4015,0.123268,0.319009,11.132829,0.214388,0.21,27.68,,
4,12/31/14,18103,4757,2742,0.149128,0.312986,10.669923,0.203099,0.35,26.46,,
1,3/31/15,17258,3586,-1371,0.134716,0.325877,11.205705,0.187046,0.26,28.07,,
2,6/30/15,17727,3931,1477,0.142792,0.341795,10.59855,0.194687,0.29,33.74,,
3,9/30/15,18675,3979,-385,0.139596,0.318875,11.585631,0.194342,0.29,37.24,,
4,12/31/15,21329,4923,-1519,0.166476,0.318111,13.567633,0.18398,0.35,35.32,,
1,3/31/16,20257,4207,-1438,0.137988,0.331391,13.904691,0.174814,0.31,35.42,,
2,6/30/16,21500,4877,-1484,0.155164,0.346465,13.857744,0.171188,0.36,39.86,,
3,9/30/16,22451,5061,-4221,0.154544,0.327246,14.837155,0.161583,0.37,39.11,,
4,12/31/16,26064,5333,3512,0.156196,0.320403,14.119538,0.169919,0.38,41.01,,
1,3/31/17,24750,5426,5214,0.152852,0.325696,14.993695,0.160961,0.39,46.85,,
2,6/30/17,26010,3524,-2421,0.09614,0.326489,15.255404,0.169828,0.25,48.45,,
3,9/30/17,27772,6732,-5130,0.176352,0.343403,14.670027,0.171133,0.49,51.68,,
4,12/31/17,32323,-3020,134,-0.078032,0.299817,12.114051,0.227035,-0.22,54.22,,
1,3/31/18,31146,9401,1943,0.240028,0.288544,12.438382,0.222823,0.68,51.13,,
2,6/30/18,32657,3195,1490,0.079176,0.305906,11.55564,0.23444,0.23,62.91,,
3,9/30/18,33740,9192,-705,0.2216,0.316123,12.16895,0.233359,0.66,54.19,,
4,12/31/18,39276,8948,3258,0.206016,0.274416,10.609457,0.236966,0.64,57.59,,
1,3/31/19,36339,6657,2447,0.14748,0.300448,9.925051,0.252199,0.48,59.95,,
2,6/30/19,38944,9947,-2561,0.211824,0.308519,9.8046,0.252464,0.72,62.26,,
3,9/30/19,40499,7068,-555,0.146044,0.312378,9.622847,0.258797,0.51,63.03,,
4,12/31/19,46075,10671,2466,0.215352,0.27236,9.53143,0.269896,0.77,72.27,,
