quarter,date,time,revenue,stock_price,net_income,net_cash_change,return_on_equity
1,40999,0,1058,-,205,-230,0.156248
2,41090,1,1184,21.71,-157,816,-0.066432
3,41182,2,1262,23.23,-59,380,-0.017172
4,41274,3,1585,29.73,64,-94,0.019744
1,41364,4,1458,28.97,219,-59,0.0743
2,41455,5,1813,34.36,333,676,0.110204
3,41547,6,2016,49.75,425,99,0.133872
4,41639,7,2586,62.57,523,223,0.146712
1,41729,8,2502,57.71,642,-325,0.159468
2,41820,9,2910,74.98,791,1386,0.180372
3,41912,10,3203,74.11,806,4615,0.162892
4,42004,11,3851,78,701,-4684,0.097812
1,42094,12,3543,82.41,512,-896,0.055652
2,42185,13,4042,94.01,719,1704,0.074744
3,42277,14,4501,108.76,896,-815,0.088632
4,42369,15,5841,109.11,1561,599,0.14582
1,42460,16,5382,116.73,1738,1549,0.152172
2,42551,17,6436,125,2283,-1348,0.187256
3,42643,18,7011,120,2627,930,0.201112
4,42735,19,8809,130.98,3569,2865,0.25198
1,42825,20,8032,150.85,3064,-1826,0.20194
2,42916,21,9321,170.44,3894,-881,0.242108
3,43008,22,10328,178.92,4707,937,0.273484
4,43100,23,12972,193.09,4269,865,0.234632
