quarter,date,revenue,net_income,net_cash_change,return_on_equity,ebitda_margin,altman_z_score,liabilities_to_assets,eps,stock_price,,
1,3/31/12,17407,5108,-4222,0.307756,0.408571,4.962186,0.418193,0.61,31.01,,
2,6/30/12,18059,-492,550,-0.029148,0.39083,4.593843,0.452771,-0.06,29.16,,
3,9/30/12,16008,4466,-1902,0.26426,0.373438,4.502461,0.435196,0.53,29.5,,
4,12/31/12,21456,6377,981,0.36076,0.406366,4.564185,0.436009,0.76,27.63,,
1,3/31/13,20489,6055,-777,0.324524,0.456147,4.489802,0.428149,0.72,28.79,,
2,6/30/13,19896,4965,-1436,0.255216,0.341425,4.345476,0.445738,0.59,31.85,,
3,9/30/13,18529,5244,219,0.261244,0.390846,4.479109,0.426468,0.63,33.72,,
4,12/31/13,24519,6558,6036,0.31464,0.374403,4.684984,0.445757,0.79,36.06,,
1,3/31/14,20403,5660,1513,0.262456,0.400872,4.560496,0.440016,0.68,39.86,,
2,6/30/14,23382,4612,-2903,0.208204,0.322042,4.101555,0.479162,0.56,43.16,,
3,9/30/14,23201,4540,-2367,0.201828,0.360846,4.494388,0.468512,0.55,45.02,,
4,12/31/14,26470,5863,124,0.257644,0.359841,4.640045,0.47452,0.71,47.01,,
1,3/31/15,21729,4985,988,0.219104,0.381333,4.149215,0.489866,0.61,43.34,,
2,6/30/15,22180,-3195,-1819,-0.15016,0.333137,3.921204,0.540997,-0.4,46.7,,
3,9/30/15,20379,4902,-164,0.248944,0.355071,3.740803,0.552071,0.61,48.03,,
4,12/31/15,23796,5018,1754,0.260292,0.317364,4.031508,0.573676,0.63,52.06,,
1,3/31/16,20531,3756,-15,0.198224,0.339584,3.757824,0.588681,0.48,55.78,,
2,6/30/16,20614,3122,-660,0.170132,0.262491,3.247181,0.62786,0.4,56.21,,
3,9/30/16,21928,5667,7418,0.31844,0.389045,3.255139,0.668875,0.73,57.25,,
4,12/31/16,25826,6267,-5460,0.36022,0.389955,3.122852,0.693651,0.81,64.27,,
1,3/31/17,23212,5486,-1755,0.316792,0.395312,3.229692,0.690116,0.71,68.27,,
2,6/30/17,25605,8069,950,0.410008,0.454754,3.519485,0.649593,1.05,72.26,,
3,9/30/17,24538,6576,-779,0.29662,0.415967,3.558554,0.640112,0.85,78.76,,
4,12/31/17,28918,-6302,5975,-0.30008,0.38782,3.596561,0.693909,-0.82,95.01,,
1,3/31/18,26819,7424,-3638,0.376852,0.410231,4.022678,0.67723,0.96,94.26,,
2,6/30/18,30085,8873,2725,0.438288,0.416619,4.121776,0.680437,1.15,108.04,,
3,9/30/18,29084,8824,3191,0.418484,0.439829,4.465572,0.666301,1.15,102.32,,
4,12/31/18,32471,8420,-8499,0.378224,0.408148,4.580396,0.644099,1.09,106.38,,
1,3/31/19,30571,8809,4574,0.376868,0.433973,4.552324,0.639685,1.15,125.01,,
2,6/30/19,33717,13187,144,0.534984,0.452205,4.773832,0.642897,1.72,138.06,,
3,9/30/19,33055,10678,1761,0.40992,0.473665,5.321377,0.619791,1.4,137.24,,
4,12/31/19,36906,11649,-4253,0.431104,0.463176,5.675461,0.610638,1.53,168.04,,
