quarter,date,revenue,net_income,net_cash_change,return_on_equity,ebitda_margin,altman_z_score,liabilities_to_assets,eps,stock_price,,
1,3/31/12,9039,2498,495,0.23364,0.423498,4.750146,0.418162,0.5,28.55,,
2,6/30/12,10916,3452,1174,0.31614,0.467387,4.686388,0.437141,0.7,27.83,,
3,9/30/12,8181,2034,712,0.18528,0.389316,4.398727,0.42872,0.42,32.23,,
4,12/31/12,9094,2581,245,0.236932,0.427314,4.409628,0.455038,0.54,33.76,,
1,3/31/13,8958,2504,189,0.229724,0.426434,4.617218,0.448835,0.53,31.98,,
2,6/30/13,10947,3806,-1488,0.34236,0.475381,4.769813,0.448186,0.81,30.14,,
3,9/30/13,8372,2191,5051,0.196652,0.403607,3.795268,0.490938,0.48,34.05,,
4,12/31/13,9275,2553,-4770,0.231952,0.422102,4.04957,0.483024,0.56,36.37,,
1,3/31/14,9307,2565,1938,0.229784,0.432685,4.232876,0.477426,0.57,38.37,,
2,6/30/14,11320,3646,937,0.314708,0.476766,4.59232,0.474364,0.81,40.15,,
3,9/30/14,8596,2184,6410,0.183184,0.40577,3.765738,0.519373,0.49,38.83,,
4,12/31/14,9598,2502,-8026,0.208732,0.420087,3.828965,0.51211,0.57,46,,
1,3/31/15,9327,2495,-2452,0.206852,0.414924,3.938534,0.508864,0.57,44.16,,
2,6/30/15,10706,2757,8015,0.225912,0.436671,3.580392,0.557288,0.63,41.06,,
3,9/30/15,8448,1747,-4977,0.144624,0.38222,3.168679,0.566678,0.4,36.38,,
4,12/31/15,8993,2197,672,0.187236,0.387634,3.149447,0.564888,0.52,36.35,,
1,3/31/16,9012,2142,-1828,0.184916,0.398135,3.138798,0.558258,0.51,41.48,,
2,6/30/16,10594,2814,4569,0.239168,0.501227,3.217441,0.573988,0.68,40.01,,
3,9/30/16,8595,1832,8462,0.153268,0.359278,2.749326,0.611825,0.44,39.23,,
4,12/31/16,9035,2032,-10022,0.168144,0.384836,2.671779,0.604813,0.5,38.9,,
1,3/31/17,9205,2239,1156,0.179356,0.382509,2.716125,0.593059,0.55,45.66,,
2,6/30/17,10893,3232,2036,0.245616,0.457357,2.826565,0.59815,0.78,50.75,,
3,9/30/17,9104,2144,-463,0.155064,0.391915,2.899809,0.578089,0.52,48.33,,
4,12/31/17,9589,2214,-11,0.157208,0.419438,2.924506,0.594269,0.53,47.71,,
1,3/31/18,9676,-4047,-1823,-0.309604,0.365026,2.691176,0.650711,-0.98,47.02,,
2,6/30/18,11014,3276,2133,0.275452,0.431814,2.693781,0.659973,0.81,44.1,,
3,9/30/18,9193,2265,-3165,0.212084,0.368541,2.425592,0.699559,0.58,49.43,,
4,12/31/18,9562,2333,-7631,0.268084,0.392177,2.406497,0.737529,0.63,46.45,,
1,3/31/19,9614,2745,3896,0.397156,0.411899,2.316817,0.778522,0.78,53.46,,
2,6/30/19,11137,3740,5794,0.642044,0.44635,2.495625,0.794285,1.1,56.12,,
3,9/30/19,9218,2137,10569,0.413124,0.376654,2.169513,0.820962,0.64,53.75,,
4,12/31/19,9614,2311,-6543,0.525164,0.391928,2.253337,0.83559,0.71,54.51,,
